z	zfir	zmaf
-0.952500	-0.963625	-0.964000
-0.952500	-0.963625	-0.964000
-0.952500	-0.963625	-0.964000
-0.966938	-0.963063	-0.963938
-0.966938	-0.963063	-0.963938
-0.966938	-0.963063	-0.963938
-0.966063	-0.963875	-0.964938
-0.966063	-0.963875	-0.964938
-0.966063	-0.963875	-0.964938
-0.968063	-0.963562	-0.965063
-0.968063	-0.963562	-0.965063
-0.968063	-0.963562	-0.965063
-0.965938	-0.963875	-0.964688
-0.965938	-0.963875	-0.964688
-0.965938	-0.963875	-0.964688
-0.954250	-0.964250	-0.963688
-0.954250	-0.964250	-0.963688
-0.954250	-0.964250	-0.963688
-0.975000	-0.965812	-0.964125
-0.975000	-0.965812	-0.964125
-0.975000	-0.965812	-0.964125
-0.964187	-0.965437	-0.964812
-0.964187	-0.965437	-0.964812
-0.964187	-0.965437	-0.964812
-0.967812	-0.965437	-0.964688
-0.967812	-0.965437	-0.964688
-0.967812	-0.965437	-0.964688
-0.975250	-0.967250	-0.965750
-0.975250	-0.967250	-0.965750
-0.975250	-0.967250	-0.965750
-0.960250	-0.968500	-0.965250
-0.960250	-0.968500	-0.965250
-0.960250	-0.968500	-0.965250
-0.966938	-0.966875	-0.965437
-0.966938	-0.966875	-0.965437
-0.966938	-0.966875	-0.965437
-0.966187	-0.967250	-0.966375
-0.966187	-0.967250	-0.966375
-0.966187	-0.967250	-0.966375
-0.970000	-0.967688	-0.966625
