z	zmaf	zfir
-1.005625	-1.092937	-1.101375
-1.005625	-1.092937	-1.101375
-1.011000	-1.067125	-1.101938
-1.011000	-1.067125	-1.101938
-1.011000	-1.067125	-1.101938
-0.985250	-1.040125	-1.091938
-0.985250	-1.040125	-1.091938
-0.985250	-1.040125	-1.091938
-0.930562	-1.006375	-1.081500
-0.930562	-1.006375	-1.081500
-0.930562	-1.006375	-1.081500
-0.818937	-0.950250	-1.055625
-0.818937	-0.950250	-1.055625
-0.818937	-0.950250	-1.055625
-0.836187	-0.916375	-1.029500
-0.836187	-0.916375	-1.029500
-0.836187	-0.916375	-1.029500
-0.654500	-0.845063	-0.986625
-0.654500	-0.845063	-0.986625
-0.654500	-0.845063	-0.986625
-0.759625	-0.799937	-0.949000
-0.759625	-0.799937	-0.949000
-0.759625	-0.799937	-0.949000
-0.531062	-0.720063	-0.897188
-0.531062	-0.720063	-0.897188
-0.531062	-0.720063	-0.897188
-0.547312	-0.665687	-0.848187
-0.547312	-0.665687	-0.848187
-0.547312	-0.665687	-0.848187
-0.557688	-0.610000	-0.803063
-0.557688	-0.610000	-0.803063
-0.557688	-0.610000	-0.803063
-0.551500	-0.589437	-0.757375
-0.551500	-0.589437	-0.757375
-0.551500	-0.589437	-0.757375
-0.783250	-0.594125	-0.738563
-0.783250	-0.594125	-0.738563
-0.783250	-0.594125	-0.738563
-0.644188	-0.616750	-0.708313
-0.644188	-0.616750	-0.708313
-0.644188	-0.616750	-0.708313
-0.687688	-0.644813	-0.685562
-0.687688	-0.644813	-0.685562
-0.687688	-0.644813	-0.685562
-1.085875	-0.750500	-0.700562
-1.085875	-0.750500	-0.700562
-1.085875	-0.750500	-0.700562
-0.831875	-0.806562	-0.704500
-0.831875	-0.806562	-0.704500
-0.831875	-0.806562	-0.704500
-1.159188	-0.881750	-0.733688
-1.159188	-0.881750	-0.733688
-1.159188	-0.881750	-0.733688
-1.058188	-0.964562	-0.770625
-1.058188	-0.964562	-0.770625
-1.058188	-0.964562	-0.770625
-1.150313	-1.057063	-0.807937
-1.150313	-1.057063	-0.807937
-1.150313	-1.057063	-0.807937
-1.100750	-1.060062	-0.856563
-1.100750	-1.060062	-0.856563
-1.100750	-1.060062	-0.856563
-1.169812	-1.127625	-0.910188
-1.169812	-1.127625	-0.910188
-1.169812	-1.127625	-0.910188
-1.032500	-1.102313	-0.947250
-1.032500	-1.102313	-0.947250
-1.032500	-1.102313	-0.947250
-1.094000	-1.109438	-0.992375
-1.094000	-1.109438	-0.992375
-1.094000	-1.109438	-0.992375
-1.114562	-1.102313	-1.022625
-1.114562	-1.102313	-1.022625
-1.114562	-1.102313	-1.022625
-1.207563	-1.123687	-1.063562
-1.207563	-1.123687	-1.063562
-1.207563	-1.123687	-1.063562
-1.296750	-1.149063	-1.113563
-1.296750	-1.149063	-1.113563
-1.296750	-1.149063	-1.113563
-1.227812	-1.188125	-1.124562
-1.227812	-1.188125	-1.124562
-1.227812	-1.188125	-1.124562
-1.164625	-1.202250	-1.149312
-1.164625	-1.202250	-1.149312
-1.164625	-1.202250	-1.149312
-1.175625	-1.214438	-1.150875
-1.175625	-1.214438	-1.150875
-1.175625	-1.214438	-1.150875
-1.000625	-1.173062	-1.145188
-1.000625	-1.173062	-1.145188
-1.000625	-1.173062	-1.145188
-1.076875	-1.129063	-1.138562
-1.076875	-1.129063	-1.138562
-1.076875	-1.129063	-1.138562
-1.011937	-1.085938	-1.132062
-1.011937	-1.085938	-1.132062
-1.011937	-1.085938	-1.132062
-0.804312	-1.013875	-1.101875
-0.804312	-1.013875	-1.101875
-0.804312	-1.013875	-1.101875
-0.840750	-0.946875	-1.083937
-0.840750	-0.946875	-1.083937
-0.840750	-0.946875	-1.083937
-0.820812	-0.910937	-1.058375
-0.820812	-0.910937	-1.058375
-0.820812	-0.910937	-1.058375
-0.694937	-0.834500	-1.019062
-0.694937	-0.834500	-1.019062
-0.694937	-0.834500	-1.019062
-0.703875	-0.772938	-0.975313
-0.703875	-0.772938	-0.975313
-0.703875	-0.772938	-0.975313
-0.817813	-0.775625	-0.936312
-0.817813	-0.775625	-0.936312
-0.817813	-0.775625	-0.936312
-0.697937	-0.747062	-0.891500
-0.697937	-0.747062	-0.891500
-0.697937	-0.747062	-0.891500
-0.626062	-0.708125	-0.847938
-0.626062	-0.708125	-0.847938
-0.626062	-0.708125	-0.847938
-0.631188	-0.695375	-0.802687
